[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3366, -340, -33]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-342, -19, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-342, -266, -189]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-342, -36, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3420, -360, -19]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3429, -1778, -126]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-34749, -2430, -1430]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3591, -2736, -56]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -12, -7]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -13, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -18, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -2, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -32, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -4, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-36, -6, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-360, -55, -24]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-361, -342, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3618, -737, -66]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3672, -272, -135]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-369, -30, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-37, -18, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-370, -333, -36]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-373464, -41040, -455]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-378, -21, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-378, -27, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-378, -35, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-378, -36, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-378, -77, -6]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-38, -19, -18]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-38, -36, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-380, -360, -19]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3816, -583, -264]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-38502, -4185, -92]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-390, -234, -25]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-396, -33, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-396, -40, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3969, -405, -35]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-40, -30, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-40, -36, -3]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-405, -189, -35]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-405, -210, -14]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4050, -324, -125]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4059, -1188, -164]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4104, -360, -95]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-414, -270, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-414, -69, -22]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-41814, -4140, -505]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-4185, -1890, -434]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-42, -27, -14]]
